annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick-upon-Tweed,E14000554,4000,36300,11,4.6,6000,36300,16.5,5.5,4500,36300,12.3,4.9,3400,36300,9.5,4.3,7500,36300,20.5,6,3900,36300,10.8,4.6,1300,36300,3.6,*,3100,36300,8.4,4.1
Bishop Auckland,E14000569,2700,40600,6.7,4.1,8100,40600,19.9,6.6,3300,40600,8.1,4.5,4100,40600,10.1,5,5000,40600,12.3,5.4,5000,40600,12.4,5.4,3200,40600,7.8,4.4,2900,40600,7.1,4.2
Blaydon,E14000574,3600,39500,9.1,3.6,7500,39500,18.9,4.9,6100,39500,15.4,4.5,3700,39500,9.3,3.6,3500,39500,8.9,3.5,3500,39500,8.8,3.5,4800,39500,12.1,4,2400,39500,6,3
Blyth Valley,E14000575,2900,36200,8.1,3.8,6900,36200,19,5.5,4800,36200,13.2,4.8,3000,36200,8.4,3.9,4600,36200,12.6,4.7,4300,36200,12,4.6,2800,36200,7.7,3.7,3300,36200,9.1,4
City of Durham,E14000641,4900,51700,9.5,5,11600,51700,22.5,7.1,8000,51700,15.5,6.2,4600,51700,8.8,4.8,5400,51700,10.4,5.2,4500,51700,8.7,4.8,4600,51700,9,4.9,2500,51700,4.9,*
Darlington,E14000658,3100,42300,7.2,2,6700,42300,15.9,2.9,6700,42300,15.7,2.9,5000,42300,11.7,2.5,4400,42300,10.5,2.4,4200,42300,9.9,2.4,4600,42300,10.9,2.5,3100,42300,7.2,2
Easington,E14000677,3000,36000,8.2,*,2700,36000,7.4,*,5400,36000,15,7.2,3300,36000,9,*,6700,36000,18.6,7.8,3200,36000,9,*,3200,36000,8.9,*,2900,36000,8,*
Gateshead,E14000709,3800,51700,7.3,2.9,9900,51700,19.2,4.4,5800,51700,11.1,3.5,4500,51700,8.8,3.2,4500,51700,8.8,3.2,5200,51700,10,3.4,6800,51700,13.1,3.8,4100,51700,7.9,3
Hartlepool,E14000733,2700,38900,6.8,2,6200,38900,16,2.9,5600,38900,14.5,2.8,4000,38900,10.3,2.4,5000,38900,13,2.7,4600,38900,11.8,2.6,4000,38900,10.3,2.4,2700,38900,7,2
Hexham,E14000746,5700,35900,16,5.8,10900,35900,30.3,7.3,3700,35900,10.2,4.8,3000,35900,8.4,4.4,4800,35900,13.3,5.4,1800,35900,4.9,*,2100,35900,6,3.8,1400,35900,4,*
Houghton and Sunderland South,E14000754,3700,40900,9.1,3.8,5700,40900,13.8,4.5,5600,40900,13.6,4.5,3800,40900,9.3,3.8,5100,40900,12.4,4.3,4500,40900,10.9,4.1,4700,40900,11.5,4.2,3000,40900,7.4,3.4
Jarrow,E14000765,4700,41400,11.4,3.3,7200,41400,17.3,4,4500,41400,11,3.3,5500,41400,13.4,3.6,3800,41400,9.2,3,4000,41400,9.7,3.1,4000,41400,9.6,3.1,2800,41400,6.7,2.6
Middlesbrough,E14000819,1600,39300,4,1.9,5100,39300,12.9,3.2,3700,39300,9.5,2.8,2700,39300,6.9,2.4,4500,39300,11.4,3,6400,39300,16.4,3.5,4200,39300,10.8,3,5100,39300,13.1,3.2
